component_id,weight,name
C-1262,0.907,FLANGE
C-1182,0.555,TUBE AS
C-1144,0.093,BOSS
C-1260,0.08,BOSS
C-1303,1.763,FLANGE
C-1815,0.005,PLUG-ORIFICE
C-1987,0.47,PLATE
C-0631,2.481,BLOCK
C-0766,0.432,TUBE
C-1151,0.054,PLATE
C-1261,0.077,BOSS
C-0155,0.098,PLATE
C-1007,0.432,TUBE
C-1169,0.512,BRACKET
C-1226,0.021,SPACER
C-0570,0.008,RING
C-0680,1.265,ELBOW
C-1498,0.093,BOSS
C-0672,0.277,ADAPTER
C-0437,0,TUBE AS-O SUPPL
C-0649,1.349,FLANGE
C-0771,1.086,FLANGE
C-0234,0.15,PLATE
C-0477,0.045,HASP-OIL FILLER
C-0922,0.003,CAP-ORIFICE
C-0523,0,TUBE AS.
C-0587,3.207,TUBE AS.
C-0661,0.024,STRAP
C-0914,0.101,BLOCK CONNECTIO
C-1323,0.005,PLUG-CORE
C-0286,0.006,NUT-WELD
C-1036,1.034,FLANGE
C-1437,1.36,FITTING
C-0364,0.147,FLANGE
C-0118,0,FLANGE
C-0708,0.815,FLANGE
C-1371,0.758,ELBOW
C-0478,0.05,NUT-INJ F V
C-1752,0.67,ELBOW-MANF IN
C-0852,0.047,FLANGE
C-1400,0.332,TUBE AS-SUPPLY
C-0853,0.509,GUSSET
C-0435,0.5,TUBE AS-SUPPLY
C-0436,0.5,TUBE AS-SUPPLY
C-1399,0.15,FLANGE
C-0647,0.922,TUBE AS-DRAIN
C-1324,0.189,CLIP
C-1572,0,TUBE AS
C-1361,0,ADAPTER
C-0845,4.812,TUBE
C-0301,1.64,BLOCK
C-0297,1.165,TUBE
C-0849,0.237,CAP AS-O FILLER
C-1414,0.091,ADAPTER
C-1823,0.441,FLANGE
C-0467,0.01,CLAMP
C-1692,0.03,SPACER
C-0586,0.614,TUBE AS
C-0135,1.5,ELBOW-AFTCLR
C-1957,1.179,ELBOW
C-0195,3,FLANGE
C-0197,3.81,FLANGE
C-2039,0,TUBE AS-FUEL IN
C-2041,0,TUBE AS-FUEL IN
C-1691,0.78,ELBOW
C-0427,0.001,SEAL-O RING
C-0871,0.566,ADAPTER
C-1377,0.454,ELBOW
C-0916,2.74,MANIFOLD
C-0682,1.258,ELBOW
C-0735,0.004,CAP
C-0728,1.009,ELBOW
C-0757,0.25,ELBOW
C-0759,0.022,ADAPTER
C-0067,0.265,TUBE
C-0476,0.599,ADAPTER
C-1932,0.336,PLATE
C-0879,0.117,BRACKET
C-0039,1.953,TUBE
C-0842,0,TUBE AS
C-0183,0.795,ELBOW
C-0803,0.463,ADAPTER
C-0901,0.015,NUT-37° FLARED
C-1818,0.016,FITTING-NUT
C-0316,0.792,ELBOW
C-0742,0.243,ORIFICE
C-0689,2.053,FLANGE-ONE PIEC
C-1438,0.019,PLUG-PIPE
C-0484,0.502,TUBE-TURBO OIL
C-1857,0,NUT-MALE PIPE
C-1827,0.01,NUT-TUBE
C-0482,0,TUBE AS
C-1251,0.502,FLANGE-CAPTIVE
C-1360,0,TUBE AS
C-1485,0.009,WASHER-HARD
C-1250,0.073,PLATE
C-0305,0.459,PLATE
C-1192,0,TUBE (BULK)
C-1193,0,TUBE
C-1422,0.279,COUPLING AS
C-0851,1.8,ELBOW
C-0603,0.33,HEAD-FLANGED
C-0818,0.081,SPACER
C-0055,0.002,FITTING
C-0847,0,TUBE AS
C-1540,0.059,CLIP
C-0841,0.725,TUBE AS
C-1738,2.315,FLANGE
C-1732,0.045,CLAMP
C-0673,0.844,ADAPTER
C-1959,0,BRACKET
C-0098,0.236,FLANGE
C-1787,1.53,JOINT-T
C-0270,0.037,SPACER
C-0794,12.03,ELBOW-HYDRAULIC
C-0733,0,ELBOW-HYDRAULIC
C-0790,0.68,FLANGE
C-0235,4.337,PIPE
C-0777,0.685,FLANGE
C-1757,0.4,TUBE AS
C-1556,4.175,TUBE
C-1401,0.085,ELBOW
C-0319,0.778,ELBOW
C-1754,0.5,TUBE
C-0230,0.216,TUBE AS
C-0298,0.096,BRACKET
C-0299,0.331,TUBE
C-1825,0.445,FILLER
C-1955,0.5,SCREEN AS
C-0713,0.222,ORIFICE
C-0265,4.59,FLANGE
C-0637,3.225,FLANGE
C-1923,0.773,FITTING
C-0040,1.693,ADAPTER
C-0715,0.131,ADAPTER - GAGE
C-1009,1.5,FLANGE
C-0861,0.005,NOZZLE
C-0716,2.259,ADAPTER RING
C-0738,0.442,BRACKET
C-0604,0.204,BRACKET
C-0760,0.009,SLEEVE-ORFS
C-0883,0.08,PLATE AS.
C-1372,0.1,FLANGE
C-0034,0.424,FLANGE
C-0724,0.32,TUBE-BULK
C-1581,3.433,TUBE
C-1693,0.017,PLATE
C-1755,0.831,TUBE AS-IN
C-0704,0.28,TUBE
C-0705,0.2,TUBE
C-1822,0.123,PLATE
C-0056,0.004,FITTING
C-1690,0.66,ELBOW
C-1856,1,ADAPTER-OIL LIN
C-0113,3.416,TUBE
C-0904,0.668,FLANGE
C-0236,0.036,GUSSET
C-0906,0.087,ADAPTER
C-0089,0.06,FLANGE
C-0300,0.068,BRACKET
C-1562,0,COVER-FRONT HSG
C-0233,0.163,TUBE
C-0528,0.03,RETAINER
C-0725,0.013,BAR
C-0128,0.158,COUPLING AS-PER
C-1824,0.749,ELBOW
C-0729,0.631,ELBOW
C-0525,2,FLANGE
C-0505,0.539,ADAPTER
C-0645,0.226,ADAPTER
C-0812,0.85,PLATE
C-0784,0.1,ADAPTER
C-2047,0.026,FLANGE
C-1674,0.035,NUT-FUEL INJ
C-1800,0.853,ELBOW-90 DEG
C-0885,1.23,TUBE AS
C-0886,1.09,TUBE AS
C-0887,0.9,TUBE AS
C-0888,0.785,TUBE AS
C-0902,5.457,FLANGE
C-1558,2.95,PLATE
C-0167,0.27,FLANGE-O FILLER
C-0983,4.405,TUBE AS
C-0984,4.427,TUBE AS
C-0868,0.022,NIPPLE AS.-45
C-0788,4.134,TUBE AS
C-1559,2.219,ADAPTER
C-1971,0.044,PLUG-STOR
C-1813,0.014,RIVET-BLIND
C-0375,0.019,NUT-DIRECT INJ
C-1560,6.9,FLANGE
C-1933,0.451,ELBOW
C-0024,0.509,BLOCK
C-0032,4.485,TUBE
C-1532,0.291,FLANGE
C-1596,0,NUT-A/C
C-0109,0.063,PLATE
C-0114,2.927,TUBE
C-0116,0.1,PLATE-FLANGE
C-1310,0.012,WASHER
C-0136,0,FLANGE AS.
C-0469,0.068,COLLAR-O-RING
C-1570,0,ADAPTER
C-1397,0.011,SCREEN
C-1504,0.826,HANGER-COAT
C-1541,0.148,CLIP
C-1573,0,FLANGE
C-0222,9.456,MANIFOLD
C-1367,0.155,ADAPTER
C-1765,0.706,PLATE
C-0280,0.614,TUBE AS.
C-1977,0.005,NUT-FULL
C-1666,1.719,MANIFOLD
C-0282,0,TUBE AS.
C-1799,0.01,CONNECTOR-SEAL
C-0326,0.336,PLATE
C-0088,6.35,FLANGE
C-0310,0.283,SPACER
C-0373,0.105,ADAPTER
C-0330,1,ELBOW
C-0103,1.457,BLOCK
C-1737,0.001,SEAL-O-RING
C-0346,0.04,PLATE
C-0396,0.352,FLANGE
C-0349,2,FLANGE-PIPE
C-0372,0.049,BRACKET
C-0576,0.019,CLEAT
C-1753,1.8,BLOCK
C-1926,0.188,PLATE
C-1741,0.749,ELBOW
C-0408,2.26,TEE-HYDRAULIC
C-1387,0.13,FITTING
C-1528,0.28,BOSS
C-0540,0.251,FLANGE-LOWER
C-0507,0,SCREEN AS.
C-0511,0.225,ADAPTER
C-0512,0.18,ANGLE AS
C-0519,0.077,PLATE
C-0324,0.319,PLUG AS.
C-0614,0.599,HEAD-FLANGED
C-0524,0.36,FLANGE-ONE PIECE
C-0527,1.903,TUBE
C-0530,0.04,PLATE
C-0515,0.019,PLATE
C-0558,0.171,COVER
C-0559,0.034,BRACKET
C-0561,1.044,FLANGE
C-1515,0.301,SHEET
C-0980,0.841,TUBE
C-0564,4.312,TUBE
C-0843,0.11,ORIFICE
C-0588,0.62,PLATE
C-0592,1.218,TUBE
C-0563,0.406,PLATE
C-1662,0.038,CAP-ORFS
C-0241,0.118,PLUG AS-HSH-STO
C-1321,0.402,PLATE
C-0416,0.06,PLATE
C-1204,1.46,FITTING-FILLER
C-0610,0.516,TUBE
C-0611,0.851,TUBE
C-0613,2.46,ELBOW-HYDRAULIC
C-1984,0.15,PLATE
C-0634,0.236,TUBE
C-0696,0.176,"COUPLING (1""BSP)"
C-0635,9.57,TUBE
C-0068,0,TUBE AS
C-0648,0.552,FLANGE
C-0650,0.413,FLANGE
C-0657,0.182,PLATE
C-0658,0.17,PLATE
C-0536,0.16,SCREEN
C-1526,0.102,PLATE
C-0430,0.222,WASHER
C-0127,0.166,COUPLING AS-PERM
C-0091,0.164,COUPLING-PERM
C-0590,0.279,FLANGE-CAPTIVE
C-0125,0.165,COUPLING AS-PERM
C-0397,0.004,ORIFICE AS.-A/C
C-0892,0.055,CLEAT
C-0838,0.04,PLATE BLANK
C-0126,0.162,COUPLING AS-PERM
C-0711,0.493,PLATE
C-0718,0.021,CONNECTOR-WELD
C-0714,0.915,TUBE
C-0721,2.719,TUBE
C-0726,1.327,TUBE
C-0731,1.722,BLOCK
C-1240,0.1,HEAD-FLANGED
C-0010,0.01,NUT-FUEL TUBE
C-0736,1.519,PLATE
C-2042,0.002,BOSS
C-1524,0.339,PLATE
C-1942,0.1,PLATE
C-1424,0.495,COUPLING AS
C-0047,0.233,BAR
C-0773,2.316,BLOCK
C-0779,0.37,FLANGE
C-0809,0.062,CLEAT
C-0801,0.122,ELBOW-AIR (CRS)
C-0810,2.532,BLOCK
C-0866,0.019,NIPPLE AS.-90
C-2036,0.001,SEAL-O-RING
C-0811,0,BRACKET AS.
C-0517,0.031,ADAPTER
C-0929,0.019,PLATE
C-0878,0.025,NIPPLE AS.-77
C-0862,0.278,ORIFICE
C-0898,0.005,PLATE
C-1876,0.038,BOSS-WELD
C-2012,0.279,COUPLING
C-1093,0.613,BRACKET
C-0232,0.073,BOSS
C-0926,0.18,FLANGE
C-0896,0.028,COUPLING-PIPE
C-0668,1.028,PLATE
C-1330,0.242,ANGLE
C-0951,0.203,ADAPTER
C-0995,1.253,BLOCK
C-1241,0.074,BOSS
C-0877,0.01,NUT-SWIVEL
C-0785,0.277,PLATE
C-1082,1.954,BELLOW AS
C-1875,0.025,NUT-WELD
C-0990,1.75,BLOCK AS
C-2011,0.211,COUPLING
C-0997,5.098,FILLER AS
C-0998,6.195,BLOCK
C-1170,0.048,BOSS-SADDLE
C-0919,0,REQUIREMENTS
C-1003,0,TUBE AS
C-1517,0.09,FLANGE
C-0781,2.254,FLANGE
C-1523,0.038,PLATE
C-1017,0.028,CONNECTOR-WELD
C-1023,0.223,BRACKET
C-0200,0.223,BOSS-WELD
C-1030,0.803,FLANGE
C-1051,3.514,TUBE
C-1038,0.288,PLATE
C-1047,0.094,CONNECTOR-WELD
C-1046,4.814,TEE-HYDRAULIC
C-1050,12.9,BLOCK
C-1052,0.812,TUBE
C-1891,0.009,PLUG-NPTF
C-1279,0.059,BOSS
C-1090,0.421,CONNECTOR-WELD
C-1133,0.3,ADAPTER
C-1062,0.831,FLANGE
C-0763,6.679,BLOCK
C-1028,1.118,TUBE
C-0907,0.02,FITTING
C-1040,0.001,SHELL
C-1048,0.438,CONNECTOR-WELD
C-1077,1.169,PLATE
C-1042,0.003,SHELL
C-1085,0.129,FITTING-BRAZE
C-0302,0.015,PLUG AS-LD STOR
C-1044,0.001,SHELL
C-1094,0.619,FLANGE
C-1100,0.256,BOSS-SADDLE
C-1101,0.264,BOSS-SADDLE
C-1108,4.383,TUBE
C-0490,0.026,RING-RETAINING
C-1125,6,TUBE
C-1086,0.4,ELBOW
C-0153,1.161,TUBE AS
C-1114,4.585,HOSE
C-1118,0.027,PLATE
C-1131,6.068,TUBE
C-1075,0.354,PLATE
C-1136,0,CONNECTOR-SEAL
C-1137,0.724,ADAPTER AS
C-1139,0.206,BOSS
C-1167,0.119,BOSS
C-1165,1.427,TUBE
C-0287,0.01,NUT-WELD
C-1153,0.042,PLATE
C-0884,0.033,SOCKET
C-0889,0.016,SOCKET
C-1154,1.137,FLANGE
C-1155,1.806,FLANGE
C-1156,1.048,FLANGE
C-1159,0.287,BOSS
C-1163,0.354,BRACKET
C-1162,0.239,BRACKET
C-1166,0.131,CONNECTOR
C-1175,0.462,FLANGE
C-1176,0.995,FLANGE
C-1177,0.741,FLANGE
C-1178,2.67,FLANGE
C-1179,4.245,FLANGE
C-0925,0.018,STUD
C-1181,0.28,CONNECTOR
C-1188,0.615,FLANGE
C-1190,0.375,ADAPTER
C-1191,3.365,FLANGE
C-1246,0.001,PLUG-ORIFICE
C-1252,0,TUBE AS
C-1472,0,FITTING-A/C
C-1473,0,FITTING-A/C
C-1099,0.525,ADAPTER
C-1265,3.13,FLANGE-WELD
C-1148,0.537,ADAPTER
C-1280,0.11,BOSS
C-1273,0.095,BOSS
C-1266,2.102,FLANGE
C-1272,3.353,TUBE
C-1293,0.112,RING
C-1275,0.582,FLANGE
C-1276,0.706,FLANGE
C-1289,0.699,FLANGE
C-1281,1.889,FLANGE
C-1305,0.241,BOSS
C-1307,0.17,BOSS-SADDLE
C-1288,0.698,FLANGE
C-0531,0.096,BLOCK
C-1290,13.77,TUBE
C-1291,6.927,TUBE
C-1292,6.259,TUBE
C-1185,2.443,FLANGE
C-1264,0.209,PLATE
C-1295,0.571,TUBE
C-1297,1.554,FLANGE
C-1302,0.376,FLANGE
C-1301,1.811,FLANGE
C-0224,0.28,BOSS
C-1322,0.074,FLANGE
C-1201,0.026,NUT-45 (DEG)
C-1396,0,TUBE AS-RH
C-1395,0,TUBE AS-LH
C-1938,0.862,BLOCK
C-1388,2.6,TUBE-BAFFLE
C-1569,0,TUBE AS
C-0431,0.21,ELBOW
C-0429,0.015,ELBOW
C-1709,0.052,PLUG
C-1915,0,TUBE AS
C-1916,0,TUBE AS
C-1237,0.409,TEE-FLARED
C-1918,1.86,TUBE AS
C-1797,0.239,TEE-UNION
C-1730,0.129,ELBOW
C-1325,0.005,PIN-SPRING
C-0025,0.15,TUBE-LUBRICATION
C-0033,1.662,FLANGE
C-1847,0.158,CLIP
C-1852,0.009,SCREEN-PUMP TUBE
C-1810,0.25,COUPLER-QDISC
C-1574,0.098,ORIFICE
C-1766,0.113,PLATE
C-1961,0.195,PIN-DOWEL
C-0256,0.597,TUBE
C-1929,0.257,FITTING
C-0291,0.559,TUBE AS.
C-0290,0.408,TUBE AS.
C-0327,7.304,TUBE
C-0311,0.578,ADAPTER-INLET
C-1878,0.02,STUD-WELD
C-1979,0.117,PLUG-STOR
C-0350,1,PIPE
C-0276,4.59,MANIFOLD
C-0381,3.855,TUBE
C-0384,7.207,TUBE
C-0629,0.21,TUBE
C-0535,0.181,TUBE
C-0560,0.082,TUBE
C-1516,2.225,BAFFLE
C-0571,0.896,PIPE
C-0589,0.157,CONNECTOR
C-0594,0.458,FLANGE
C-0595,0.93,TUBE
C-0659,0.441,PLATE
C-0574,0.423,BLOCK
C-1522,2.372,TUBE-BAFFLE
C-0686,0.119,TUBE AS.
C-0687,6.804,BLOCK
C-0184,0.323,PLATE
C-0712,0.184,PLATE
C-0730,0.363,TUBE
C-0754,0.417,BOSS
C-1525,0.055,PLATE
C-0758,2.011,TUBE-BAFFLE
C-0856,0.068,PLATE
C-2037,0.001,SEAL-O-RING
C-0897,0.241,COUPLING
C-0928,0.048,BRACKET
C-0669,0.369,PLATE
C-1597,0.031,BOLT-HEX HEAD
C-0670,0.208,TUBE
C-0969,0.284,TUBE
C-0786,7.352,TUBE
C-0985,2.227,TUBE-WATER
C-2013,0.22,COUPLING
C-0935,0.015,NUT-A/C
C-1306,0.148,FLANGE
C-1146,0.046,CAP AS
C-0633,0.107,PLATE
C-1018,0.074,CONNECTOR-WELD
C-1025,0.997,TUBE
C-1033,0.394,RING
C-1031,0.807,GUSSET
C-1060,0.033,PLATE
C-1053,1.65,TUBE
C-1056,0.031,TUBE AS
C-1057,2.619,PIPE
C-1091,0.092,CONNECTOR-WELD
C-1063,0.829,PLATE
C-1079,0.877,PLATE AS
C-1111,0.226,BOSS
C-1008,0.329,ELBOW-CAST
C-0491,0.127,ADAPTER
C-1122,0.461,TUBE
C-1128,1.561,TUBE AS-COUPLING
C-1134,0.854,TUBE
C-1140,0.058,BOSS
C-1161,0.321,BOSS
C-1164,0.778,TUBE
C-1277,0.232,FLANGE
C-0937,0.134,BLOCK CONNECTION
C-1263,4.633,TUBE
C-1269,1.463,FLANGE
C-1274,0.115,BOSS
C-1285,1.219,FLANGE
C-1287,2.015,FLANGE
C-1282,1.132,BRACKET
C-1286,0.599,HEAD-FLANGED
C-1284,0.725,FLANGE
C-1186,0.259,BOSS
C-1296,0.719,BRACKET
C-1299,0.026,TUBE AS
C-1304,2.316,FLANGE
C-1519,0.723,WASHER
C-1529,0.122,CONNECTOR
C-1930,0.26,TUBE
C-0026,0.032,TUBE
C-0176,0.476,UNION-TUBE
C-0351,2.16,PLATE AS
C-0277,3.5,MANIFOLD-FUEL
C-0630,0.177,TUBE
C-0660,0.567,TUBE
C-1982,0.025,PLATE
C-0662,0.102,PLATE
C-0489,0.91,PLATE
C-0692,0.109,TUBE
C-0857,0.396,ROD
C-0204,0.088,PLATE
C-0671,0.194,TUBE
C-0918,0.53,PLATE AS.
C-0986,0.3,PLATE
C-0936,0.015,HEAD-ADAPTER
C-0908,0.16,PLATE
C-1002,0.266,PLATE
C-1026,1.559,BRACKET
C-1054,0.467,TUBE
C-1092,0.238,CONNECTOR-WELD
C-1064,5.928,TUBE
C-1087,2.786,TUBE
C-1088,3.043,TUBE
C-1129,1.255,PLATE
C-1073,0.031,PLATE
C-1173,0.175,BRACKET
C-1270,0.198,BOSS
C-1267,0.173,BOSS
C-1294,0.19,BOSS
C-1991,2,TEE
C-0148,0.375,ELBOW
C-0352,0.39,PLATE
C-0379,3.7,TUBE
C-0289,1.12,TUBE
C-0664,0.619,TUBE
C-0665,1.225,TUBE
C-0666,2.716,TUBE
C-0690,0.692,TUBE
C-0691,0.273,TUBE
C-0693,0.189,TUBE
C-0694,0.799,TUBE
C-0756,0.689,TUBE
C-0858,0.983,TUBE
C-0870,1.232,TUBE
C-0798,0.198,TUBE
C-0753,0.282,TUBE
C-0981,0.524,PLATE
C-0991,0.813,PLATE-OUTER
C-0909,0.034,PLATE
C-1012,0.286,POST
C-1016,0.298,TUBE
C-1055,0.208,PLATE
C-1084,0.602,TUBE
C-1147,0.018,PLATE
C-1271,0.205,BOSS
C-0279,0.908,TUBE
C-0353,0.326,PIPE
C-0557,1.178,PLATE
C-0663,3.771,TUBE
C-0695,2.977,BLOCK
C-0933,1.207,PLATE
C-0967,1.138,BRACKET
C-0992,1.05,BLOCK
C-1011,1.607,TUBE
C-1015,0.666,TUBE
C-1070,0.97,TUBE
C-0934,0.701,PLATE
C-0355,1.2,PLATE
C-0968,6.596,TUBE
C-1049,1.182,BRACKET
C-0001,0.013,SLEEVE
C-0002,0.005,SLEEVE
C-0003,0.014,SLEEVE-FLARED
C-0048,0.006,SLEEVE-BRAZE
C-0049,0.012,SLEEVE-ORFS
C-0050,0.015,SLEEVE-ORFS
C-0051,0.033,SLEEVE-ORFS
C-0052,0.041,SLEEVE-ORFS
C-0053,0.079,SLEEVE-ORFS
C-0058,0.006,SLEEVE-90DEG
C-0059,0.015,SLEEVE-90DEG
C-0060,0.042,SLEEVE-90DEG
C-0096,0.006,SLEEVE
C-0101,0.01,SLEEVE
C-0186,0.024,SLEEVE-ORFS
C-0226,0.06,SLEEVE-FLARED
C-0228,0.06,SLEEVE
C-0309,0.001,SLEEVE-FLARED
C-0391,0.009,SLEEVE-90 DEG
C-0445,0.02,SLEEVE-ORFS
C-0449,0.006,SLEEVE-FLARED
C-0830,0.027,SLEEVE-FITTING
C-1035,0.017,SLEEVE-REDUCER
C-1074,0.006,CONNECTOR-BRAZED
C-1244,0.005,SLEEVE
C-1332,0.012,SLEEVE-ORFS
C-1420,0.009,SLEEVE-FITTING
C-1443,0.09,SLEEVE-FLARED
C-1627,0.005,SLEEVE-ORFS
C-1628,0.006,SLEEVE-ORFS
C-1629,0.012,SLEEVE-ORFS
C-1630,0.018,SLEEVE-ORFS
C-1631,0.026,SLEEVE-ORFS
C-1632,0.033,SLEEVE-ORFS
C-1633,0.04,SLEEVE-ORFS
C-1635,0.025,SLEEVE-FACE SEAL
C-1652,0.045,SLEEVE-REDUCER
C-1653,0.03,SLEEVE-REDUCER
C-1654,0.029,SLEEVE-REDUCER
C-1655,0.025,SLEEVE-REDUCER
C-1656,0.023,SLEEVE-REDUCER
C-1657,0.02,SLEEVE-REDUCER
C-1658,0.021,SLEEVE-REDUCER
C-1659,0.019,SLEEVE-REDUCER
C-1660,0.012,SLEEEVE-REDUCER
C-1661,0.005,SLEEVE-REDUCER
C-1703,0.059,SLEEVE-ORFS
C-1846,0.002,SLEEVE-FLARED
C-1866,0.035,SLEEVE-ORFS
C-2035,0.001,SLEEVE-ORIFICE
C-0012,0.788,FLANGE
C-0014,0.339,FLANGE
C-0015,0.788,FLANGE
C-0019,1.533,FLANGE-ONE PIECE
C-0029,0.286,FLANGE
C-0036,1.85,FLANGE-BRAZE
C-0038,0.169,FLANGE
C-0046,0.38,FLANGE-ONE PIEC
C-0062,1.85,FLANGE-BRAZE
C-0079,3.09,FLANGE-ONE PIECE
C-0080,0.434,FLANGE
C-0081,0.02,FLANGE
C-0086,0.65,FLANGE
C-0093,0.332,FLANGE
C-0110,1.097,FLANGE-ONE PIECE
C-0115,0.43,FLANGE
C-0122,0.08,HEAD-FLANGED
C-0131,0.825,FLANGE
C-0132,0.25,HEAD-FLANGED
C-0137,0.5,FLANGE
C-0138,0.56,FLANGE
C-0141,0.336,PLATE
C-0142,0.19,FLANGE
C-0146,0.127,FLANGE
C-0147,1.3,FLANGE
C-0150,0.105,FLANGE
C-0154,0.972,FLANGE-ONE PIEC
C-0156,1.251,FLANGE
C-0157,0.801,FLANGE-ONE PIEC
C-0158,0.097,FLANGE
C-0162,2.725,FLANGE
C-0166,0.11,FLANGE
C-0170,0.09,FLANGE
C-0172,0.191,FLANGE
C-0174,2.07,FLANGE-ONE PIECE
C-0190,1.035,FLANGE
C-0191,0.407,FLANGE
C-0193,0.625,FLANGE
C-0202,0.278,FLANGE
C-0205,0.807,FLANGE
C-0219,1.171,FLANGE-SPECIAL
C-0220,0.97,FLANGE
C-0221,0.795,FLANGE
C-0229,0.18,FLANGE
C-0231,0.23,FLANGE
C-0237,0.172,HEAD FLANGED
C-0244,2.127,FLANGE
C-0246,0.08,FLANGE
C-0247,2.25,FLANGE-ONE PIEC
C-0250,2.46,FLANGE-ONE PIEC
C-0268,2.91,FLANGE-ONE PIEC
C-0275,3.268,FLANGE-ONE PIECE
C-0292,0.115,FLANGE
C-0295,0.53,FLANGE
C-0306,1.062,FLANGE
C-0325,1.44,FLANGE
C-0332,0.008,HEAD-FLANGED
C-0333,0.136,HEAD-FLANGED
C-0334,0.104,HEAD-FLANGED
C-0335,0.09,HEAD-FLANGED
C-0342,1.589,FLANGE
C-0343,0.813,FLANGE-ONE PIECE
C-0344,1.297,FLANGE
C-0359,1.044,FLANGE-ONE PIECE
C-0360,1.325,FLANGE
C-0362,0.32,FLANGE
C-0370,0.596,HEAD-FLANGED
C-0380,0.928,FLANGE
C-0385,0.732,FLANGE
C-0392,0.14,HEAD-FLANGE
C-0398,0.078,FLANGE
C-0400,1.547,FLANGE-ONE PIECE
C-0403,2.59,BOSS
C-0406,2.199,FLANGE-ONE PIEC
C-0423,0.16,FLANGE
C-0434,0.191,FLANGE
C-0450,0.496,FLANGE-ONE PIEC
C-0451,0.693,FLANGE-ONE PIEC
C-0452,0.94,FLANGE-ONE PIEC
C-0453,1.094,FLANGE-ONE PIEC
C-0456,0.175,HEAD-FLANGED
C-0457,0.14,HEAD-FLANGED
C-0458,0.158,HEAD-FLANGE
C-0459,0.175,HEAD-FLANGED
C-0460,0.21,HEAD-FLANGED
C-0461,0.403,HEAD-FLANGED
C-0462,0.28,HEAD-FLANGED
C-0463,0.613,HEAD-FLANGED
C-0465,1.347,FLANGE-ONE PIEC
C-0466,0.482,FLANGE-ONE PIEC
C-0468,0.09,FLANGE
C-0471,0,FLANGE
C-0479,0.06,FLANGE
C-0480,0,FLANGE-O SUPPLY
C-0485,0.32,HEAD-FLANGED
C-0492,0.154,HEAD-O-RING
C-0498,0.172,HEAD
C-0500,0.207,FLANGE
C-0509,0.345,FLANGE
C-0510,0.3,FLANGE
C-0532,0.229,FLANGE
C-0538,0.91,FLANGE
C-0543,0.224,FLANGE
C-0546,1.201,FLANGE
C-0551,0.442,FLANGE-BRAZE
C-0554,2.377,FLANGE
C-0568,1.469,FLANGE-ONE PIECE
C-0573,0.192,HEAD-FLAT FACE
C-0591,0.161,HEAD-FLANGED
C-0599,0.447,FLANGE-ONE PIEC
C-0601,0.424,FLANGE
C-0602,0.752,FLANGE-ONE PIEC
C-0606,0.129,PLATE
C-0612,4.076,BLOCK
C-0618,0.955,FLANGE
C-0619,1.455,FLANGE
C-0621,0.56,HEAD-FLANGE
C-0622,0.435,HEAD-FLANGED
C-0628,0.5,HEAD O-RING
C-0632,1.368,FLANGE
C-0652,0.955,FLANGE-WELD
C-0653,0.061,HEAD-O-RING
C-0679,0.474,FLANGE-4 BOLT
C-0698,0.229,FLANGE-ONE PIEC
C-0703,0.15,HEAD-FLANGED
C-0709,0.085,HEAD-O-RING SEAL
C-0722,0.72,PLATE
C-0732,0.256,FLANGE
C-0734,1.26,FLANGE
C-0737,3,FLANGE
C-0739,0.258,FLANGE
C-0741,0.14,HEAD-FLANGED
C-0747,0.224,HEAD-FLANGE
C-0748,0.187,HEAD-FLANGE
C-0750,0.191,FLANGE
C-0761,1.372,FLANGE
C-0778,0.265,FLANGE
C-0782,0.788,FLANGE
C-0787,0.07,FLANGE
C-0792,2.52,FLANGE
C-0799,1.343,FLANGE
C-0808,1.545,FLANGE-ONE PIEC
C-0819,0.272,FLANGE
C-0829,0.32,HEAD-FLANGED
C-0836,0,FLANGE
C-0840,2.447,FLANGE
C-0846,0.4,FLANGE
C-0850,0.7,FLANGE
C-0875,0.765,FLANGE
C-0880,4.378,FLANGE
C-0881,3.713,FLANGE
C-0894,0.156,FLANGE
C-0917,0.286,FLANGE-HEAD
C-0927,0.765,FLANGE-WELD
C-0940,0.851,FLANGE
C-0941,0.81,FLANGE
C-0942,0.665,FLANGE
C-0944,0.493,FLANGE
C-0946,1.022,FLANGE
C-0959,0.748,FLANGE
C-0960,0.691,FLANGE
C-0961,0.412,FLANGE
C-0966,1.535,FLANGE
C-0970,0.001,FLANGE-4 BOLT
C-0973,0.095,FLANGE-HEAD
C-0976,0.963,FLANGE-SPECIAL
C-0977,0.288,FLANGE
C-0978,1.98,FLANGE-ONE PIECE
C-0994,0.877,FLANGE-ONE-PIEC
C-1005,1.184,FLANGE-ONE PIEC
C-1014,1.352,FLANGE-ONE PIEC
C-1066,9.693,FLANGE
C-1071,0.165,FLANGE
C-1113,0.249,HEAD-FLANGED
C-1115,1.97,FLANGE
C-1145,0.07,HEAD-FLANGED
C-1203,1.835,FLANGE
C-1207,0.172,HEAD-FLANGED
C-1210,0.976,FLANGE-ONE PIEC
C-1212,1.815,FLANGE-ONE PIEC
C-1224,0.081,FLANGE-ONE PIEC
C-1234,0.533,FLANGE
C-1235,0.562,FLANGE-ONE PIEC
C-1236,0.771,FLANGE-ONE PIECE
C-1242,0.233,HEAD-FLANGED
C-1245,0.223,FLANGE-WELD
C-1314,0.405,FLANGE
C-1315,0,FLANGE
C-1326,0.419,FLANGE
